genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_001742305.1,Desulfuribacillus stibiiarsenatis,96.03,2.05,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_J;c__Desulfuribacillia;o__Desulfuribacillales;f__Desulfuribacillaceae;g__Desulfuribacillus_A;s__Desulfuribacillus_A stibiiarsenatis,Firmicutes,Firmicutes,MLFW-2,SAMN05771867,PRJNA343013,Isolate sequencing,NA,Isolate,GCA_001742305.1,Contig,3.1197,38.2,,MJAT01,40,2933,2016-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/305/GCA_001742305.1_ASM174230v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/742/305/GCF_001742305.1_ASM174230v1
GCA_001797665.1,Deltaproteobacteria bacterium GWF2_42_12,87.88,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp001797665,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314143,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797665.1,Scaffold,2.4419,42,,MGQA01,126,2218,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/665/GCA_001797665.1_ASM179766v1,
GCA_002771395.1,Bacteroidetes bacterium CG23_combo_of_CG06-09_8_20_14_all_32_9,65.47,0.24,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWA2-32-17;g__GWA2-32-17;s__GWA2-32-17 sp002771395,Bacteroidetes,Bacteroidetes,CG23_combo_of_CG06-09_8_20_14_all_32_9,SAMN06659657,PRJNA362739,aquifer metagenome,Probst et al. 2045,Subsurface,GCA_002771395.1,Scaffold,2.27562,32.3,,PCSS01,400,1807,2017-11-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/771/395/GCA_002771395.1_ASM277139v1,
GCA_001798605.1,Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15,87.8,5.7,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__XYA12-FULL-58-9;s__XYA12-FULL-58-9 sp001798605,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314410,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001798605.1,Scaffold,6.36546,58.3,,MGST01,381,4940,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/798/605/GCA_001798605.1_ASM179860v1,
GCA_003155705.1,Bacteroidales bacterium,90.24,2.78,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003155705,Bacteroidetes,Bacteroidetes,fen_961,SAMN08179723,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003155705.1,Scaffold,3.19602,38.4,,PMEC01,257,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/155/705/GCA_003155705.1_20120700_E2X,
GCA_002117975.1,Geobacter pelophilus,100,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__Geobacter_A pelophilus,Deltaproteobacteria,Deltaproteobacteria,Drf2,SAMD00076870,PRJDB5639,Isolate sequencing,NA,Isolate,GCA_002117975.1,Scaffold,4.338,60.9,,BDQG01,2,3677,2017-04-27T20:45:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/975/GCA_002117975.1_ASM211797v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/975/GCF_002117975.1_ASM211797v1
GCA_001303025.1,Deltaproteobacteria bacterium SG8_13,84.19,1.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae_A;g__SG8-13;s__SG8-13 sp001303025,Deltaproteobacteria,Deltaproteobacteria,SG8_13,SAMN03994161,PRJNA270657,estuary Sediment metagenomes,Zaremba et al Nature,Sediment,GCA_001303025.1,Scaffold,3.80055,57,,LJNK01,125,3137,2015-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/303/025/GCA_001303025.1_ASM130302v1,
GCA_000526155.1,Deferrisoma camini S3R1,98.32,1.68,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Deferrisomatota;c__Defferisomatia;o__Defferisomatales;f__Defferisomataceae;g__Deferrisoma;s__Deferrisoma camini,Deltaproteobacteria,Deltaproteobacteria,S3R1,SAMN02584914,PRJNA160107,deferrisoma genome sequencing,NA,Hydrocarbon_Contaminated_Site,GCA_000526155.1,Contig,4.23655,70.1,,JAFN01,1,0,2014-01-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/526/155/GCA_000526155.1_ASM52615v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/526/155/GCF_000526155.1_ASM52615v1
GCA_002426245.1,Syntrophomonas sp. UBA5504,95.27,2.76,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105,Firmicutes,Firmicutes,UBA5504,SAMN06457447,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002426245.1,Scaffold,3.05014,47.1,,DIOW01,116,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/426/245/GCA_002426245.1_ASM242624v1,
GCA_001873935.1,Deltaproteobacteria bacterium CG2_30_66_27,94.96,0.84,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__CG2-30-66-27 sp001873935,Deltaproteobacteria,Deltaproteobacteria,CG2_30_66_27,SAMN04328283,PRJNA297582,groundwater metagenome/Subsurface,Probst et al. 2017,Subsurface,GCA_001873935.1,Scaffold,2.62631,65.5,,MNYH01,100,2452,2016-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/935/GCA_001873935.1_ASM187393v1,
GCA_002482655.1,Geobacter sp. UBA7696,70.97,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter sulfurreducens,Deltaproteobacteria,Deltaproteobacteria,UBA7696,SAMN06453385,PRJNA348753,Parks 2017 UBA reassembly,Metagenomic analyses of microbial communities generating electricity from methanol,Engineered,GCA_002482655.1,Scaffold,2.80613,61.5,,DLGK01,9,0,2017-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/482/655/GCA_002482655.1_ASM248265v1,
GCA_003141415.1,Bacteroidales bacterium,92.3,3.33,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003141415,Bacteroidetes,Bacteroidetes,fen_983,SAMN08180144,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003141415.1,Scaffold,5.25655,37.4,,PLLX01,279,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/141/415/GCA_003141415.1_20120800_E3S,
GCA_001799225.1,Deltaproteobacteria bacterium RIFOXYD12_FULL_50_9,84.99,1.59,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__XYD12-FULL-50-9;s__XYD12-FULL-50-9 sp001799225,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314632,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001799225.1,Scaffold,3.76924,49.7,,MGTA01,274,2763,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/799/225/GCA_001799225.1_ASM179922v1,
GCA_001829295.1,Spirochaetes bacterium GWD1_61_31,97.7,1.72,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA12059;s__UBA12059 sp001829185,Spirochaetes,Spirochaetes,,SAMN04314208,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829295.1,Scaffold,3.59493,60.5,,MIAX01,138,2893,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/295/GCA_001829295.1_ASM182929v1,
GCA_003245525.1,Victivallales bacterium,87.78,3.91,Bacteria;PVC group;Lentisphaerae,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__UBA1407;f__Lenti-02;g__Lenti-02;s__Lenti-02 sp003245525,PVC;Lentisphaerae,PVC,SZUA-436,SAMN09287984,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003245525.1,Contig,6.70245,65.9,,QKCY01,607,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/245/525/GCA_003245525.1_ASM324552v1,
GCA_002382045.1,Syntrophaceae bacterium UBA4059,92.58,2.58,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002382045,Deltaproteobacteria,Deltaproteobacteria,UBA4059,SAMN06454798,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002382045.1,Scaffold,2.95292,49.1,,DFZJ01,229,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/382/045/GCA_002382045.1_ASM238204v1,
GCA_003158435.1,Dehalococcoidia bacterium,82.54,2.97,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003162335,Chloroflexi,Chloroflexi,fen_1048,SAMN08179590,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003158435.1,Scaffold,3.06688,47.2,,PMJB01,251,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/158/435/GCA_003158435.1_20120600_E3D,
GCA_002840355.1,Elusimicrobia bacterium HGW-Elusimicrobia-3,95.4,2.25,Bacteria;Elusimicrobia;unclassified Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__UBA9959 sp002840355,Elusimicrobia,Elusimicrobia,HGW-Elusimicrobia-3,SAMN06767665,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002840355.1,Scaffold,2.88259,63.8,,PHAL01,95,2540,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/355/GCA_002840355.1_ASM284035v1,
GCA_900170035.1,Desulfamplus magnetovallimortis,95.97,2.15,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfamplus;s__Desulfamplus magnetovallimortis,Deltaproteobacteria,Deltaproteobacteria,PRJEB14757,SAMEA100367668,PRJEB14757,JGI Isolate sequencing,NA,Isolate,GCA_900170035.1,Scaffold,6.678,40.7,,FWEV01,108,5017,2017-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/170/035/GCA_900170035.1_Desulfamplus_magnetomortis_BW-1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/170/035/GCF_900170035.1_Desulfamplus_magnetomortis_BW-1
GCA_900114595.1,Desulfomicrobium norvegicum,99.96,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfomicrobiaceae;g__Desulfomicrobium;s__Desulfomicrobium norvegicum,Deltaproteobacteria,Deltaproteobacteria,DSM 1741,SAMN05421830,PRJEB17462,JGI Isolate sequencing,NA,Isolate,GCA_900114595.1,Scaffold,4.353,58.8,,FOTO01,45,3726,2016-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/595/GCA_900114595.1_IMG-taxon_2675903163_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/595/GCF_900114595.1_IMG-taxon_2675903163_annotated_assembly
GCA_000190635.1,Syntrophobotulus glycolicus DSM 8271,100,0.34,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Syntrophobotulus;s__Syntrophobotulus glycolicus,Firmicutes,Firmicutes,DSM 8271,SAMN00216969,PRJNA38111,Isolate sequencing,Han et al. 2011,Isolate,GCA_000190635.1,Complete,3.40674,46.4,chromosome:NC_015172.1/CP002547.1,,1,3264,2011-03-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/635/GCA_000190635.1_ASM19063v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/635/GCF_000190635.1_ASM19063v1
GCA_002479215.1,Syntrophaceae bacterium UBA7544,88.39,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__UBA4810 sp002479215,Deltaproteobacteria,Deltaproteobacteria,UBA7544,SAMN06455316,PRJNA348753,Parks 2017 UBA reassembly,SPRUCE microbial community Metagenome,Sediment,GCA_002479215.1,Scaffold,2.98267,43.1,,DLME01,305,0,2017-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/479/215/GCA_002479215.1_ASM247921v1,
GCA_002382705.1,Geobacter sp. UBA4057,98.28,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_D;s__Pelobacter_D sp002382705,Deltaproteobacteria,Deltaproteobacteria,UBA4057,SAMN06454800,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002382705.1,Scaffold,2.34337,50.8,,DFZL01,61,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/382/705/GCA_002382705.1_ASM238270v1,
GCA_002432985.1,Syntrophaceae bacterium UBA5828,84.48,3.23,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002304995,Deltaproteobacteria,Deltaproteobacteria,UBA5828,SAMN06453965,PRJNA348753,Parks 2017 UBA reassembly,Dechlorination Culture Metagenome,Engineered,GCA_002432985.1,Scaffold,3.33926,57.7,,DJHD01,266,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/432/985/GCA_002432985.1_ASM243298v1,
GCA_002840935.1,Bacteroidetes bacterium HGW-Bacteroidetes-21,88.66,0.27,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWA2-32-17;g__GCA-002840935;s__GCA-002840935 sp002840935,Bacteroidetes,Bacteroidetes,HGW-Bacteroidetes-21,SAMN06767591,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002840935.1,Scaffold,3.90251,37.6,,PHDH01,326,3202,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/935/GCA_002840935.1_ASM284093v1,
GCA_001936615.1,Desulfosporosinus sp. OL,99.49,2.89,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp001936615,Firmicutes,Firmicutes,OL,SAMN05892169,PRJNA338386,Isolate sequencing,NA,Isolate,GCA_001936615.1,Contig,5.29288,43.6,,MLBF01,271,4854,2017-01-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/615/GCA_001936615.1_ASM193661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/615/GCF_001936615.1_ASM193661v1
GCA_002383325.1,Candidatus Aminicenantes bacterium UBA4085,85.35,3.85,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__UBA4085;g__UBA4085;s__UBA4085 sp002383325,Candidatus Aminicenantes,Other,UBA4085,SAMN06451301,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002383325.1,Scaffold,3.49142,65.3,,DFYJ01,155,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/383/325/GCA_002383325.1_ASM238332v1,
GCA_001829345.1,Spirochaetes bacterium GWF1_31_7,96.2,2.4,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__GWE2-31-10 sp001829315,Spirochaetes,Spirochaetes,,SAMN04314136,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829345.1,Scaffold,4.10079,31.5,,MIBB01,89,3358,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/345/GCA_001829345.1_ASM182934v1,
GCA_002898515.1,Geothermobacter sp. HR-1,98.71,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geothermobacteraceae;g__Geothermobacter;s__Geothermobacter sp002898515,Deltaproteobacteria,Deltaproteobacteria,HR-1,SAMN08372522,PRJNA430423,Isolate sequencing,NA,Isolate,GCA_002898515.1,Scaffold,3.84285,59.2,,PPFX01,73,3300,2018-01-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/898/515/GCA_002898515.1_ASM289851v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/898/515/GCF_002898515.1_ASM289851v1
GCA_003154025.1,Syntrophaceae bacterium,88.5,5.16,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__BSN033;o__SM23-61;f__SM23-61;g__SM23-61;s__SM23-61 sp003154025,Deltaproteobacteria,Deltaproteobacteria,fen_1141,SAMN08179775,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003154025.1,Scaffold,5.73271,56.3,,PMCE01,574,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/154/025/GCA_003154025.1_20120700_E3M,
GCA_002428765.1,Desulfosporosinus sp. UBA6075,84.52,1.42,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000770645,Firmicutes,Firmicutes,UBA6075,SAMN06455615,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002428765.1,Scaffold,2.29698,44.6,,DIXR01,62,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/428/765/GCA_002428765.1_ASM242876v1,
GCA_003154615.1,Myxococcales bacterium,78.12,2.6,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003158395,Deltaproteobacteria,Deltaproteobacteria,fen_1132,SAMN08179729,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003154615.1,Scaffold,5.22393,64.1,,PMDW01,566,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/154/615/GCA_003154615.1_20120700_E2X,
GCA_000820505.1,Geoalkalibacter ferrihydriticus DSM 17813,99.35,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geoalkalibacteraceae;g__Geoalkalibacter;s__Geoalkalibacter ferrihydriticus,Deltaproteobacteria,Deltaproteobacteria,DSM 17813,SAMN03097396,PRJNA263164,Isolate sequencing,Badalementi et al. 2015,Isolate,GCA_000820505.1,Scaffold,3.83969,57.9,,JWJD01,23,3373,2015-01-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/820/505/GCA_000820505.1_ASM82050v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/820/505/GCF_000820505.1_ASM82050v1
GCA_002408445.1,Syntrophomonas sp. UBA5288,87.24,1.4,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp002408445,Firmicutes,Firmicutes,UBA5288,SAMN06451252,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002408445.1,Scaffold,2.92053,44.2,,DHSK01,199,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/408/445/GCA_002408445.1_ASM240844v1,
GCA_003165055.1,Syntrophaceae bacterium,96.45,1.33,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775,Deltaproteobacteria,Deltaproteobacteria,bog_1156,SAMN08179979,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003165055.1,Scaffold,3.41585,43.1,,PLSF01,211,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/165/055/GCA_003165055.1_20120700_S1D,
GCA_000243135.3,Desulfitobacterium dichloroeliminans LMG P-21439,97.96,1.36,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacterium dichloroeliminans,Firmicutes,Firmicutes,LMG P-21439,SAMN02232012,PRJNA61519,JGI Isolate sequencing,NA,Isolate,GCA_000243135.3,Complete,3.62445,44.2,chromosome:NC_019903.1/CP003344.1,,1,3300,2012-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/135/GCA_000243135.3_ASM24313v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/135/GCF_000243135.2_ASM24313v3
GCA_001805105.1,Nitrospirae bacterium GWF2_44_13,95.45,0.91,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001805105,Nitrospirae,Nitrospirae,,SAMN04313875,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001805105.1,Scaffold,1.98604,43.7,,MHEE01,18,1976,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/805/105/GCA_001805105.1_ASM180510v1,
GCA_003154635.1,Actinobacteria bacterium,87.9,0.85,Bacteria;Terrabacteria group;Actinobacteria,d__Bacteria;p__Actinobacteriota;c__RBG-13-55-18;o__Fen-727;f__Fen-727;g__FEN-727;s__FEN-727 sp003154635,Actinobacteria,Actinobacteria,fen_727,SAMN08179728,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003154635.1,Scaffold,2.99326,59.2,,PMDX01,339,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/154/635/GCA_003154635.1_20120700_E2X,
GCA_002382725.1,Desulfobulbaceae bacterium UBA4056,71.93,1.75,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Tol-SR;s__Tol-SR sp000769715,Deltaproteobacteria,Deltaproteobacteria,UBA4056,SAMN06454799,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002382725.1,Scaffold,3.28319,60,,DFZM01,91,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/382/725/GCA_002382725.1_ASM238272v1,
GCA_001789275.1,Candidatus Raymondbacteria bacterium RIFOXYD12_FULL_49_13,96.51,2.2,Bacteria;unclassified Bacteria;Bacteria candidate phyla,d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__XYB2-FULL-49-35 sp001789205,Candidatus Raymondbacteria,Other,,SAMN04314640,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001789275.1,Scaffold,5.33788,49.8,,MFYX01,160,4163,2016-10-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/789/275/GCA_001789275.1_ASM178927v1,
GCA_002784205.1,Deltaproteobacteria bacterium CG_4_10_14_3_um_filter_51_14,91.43,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__CG2-30-51-40;g__CG2-30-51-40;s__CG2-30-51-40 sp001874005,Deltaproteobacteria,Deltaproteobacteria,CG_4_10_14_3_um_filter_51_14,SAMN06659861,PRJNA362739,aquifer metagenome,Probst et al. 2021,Subsurface,GCA_002784205.1,Scaffold,3.42137,50.7,,PFKK01,337,3094,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/784/205/GCA_002784205.1_ASM278420v1,
